표준코드,ticker,한글종목명,name,start_date,기초지수명,지수산출기관,기초자산분류
KR7445690001,445690,BNK BNK 주주가치액티브증권상장지수투자신탁(주식),BNK 주주가치액티브,2022/10/27,FnGuide 주주가치 지수,FnGuide,주식
KR7292340007,292340,DB 마이티 200커버드콜ATM레버리지증권상장지수투자신탁[주식-파생형],마이티 200커버드콜ATM레버리지,2018/03/20,코스피 200 커버드콜 ATM 지수,KRX,주식
KR7442260006,442260,DB 마이티 다이나믹퀀트액티브증권상장지수투자신탁[주식],마이티 다이나믹퀀트액티브,2022/10/25,코스피 200,KRX,주식
KR7159800002,159800,DB마이티K100증권상장지수투자신탁(주식),마이티 코스피100,2012/07/05,코스피 100,KRX,주식
KR7361580004,361580,KB KBSTAR 200 Total Return증권상장지수투자신탁(주식),KBSTAR 200TR,2020/08/21,코스피 200 TR,KRX,주식
KR7285000006,285000,KB KBSTAR 200IT증권상장지수투자신탁(주식),KBSTAR 200IT,2017/12/08,코스피 200 정보기술,KRX,주식
KR7287300008,287300,KB KBSTAR 200건설증권상장지수투자신탁(주식),KBSTAR 200건설,2017/12/22,코스피 200 건설,KRX,주식
KR7287310007,287310,KB KBSTAR 200경기소비재증권상장지수투자신탁(주식),KBSTAR 200경기소비재,2017/12/22,코스피 200 경기소비재,KRX,주식
KR7290080001,290080,KB KBSTAR 200고배당커버드콜ATM증권상장지수투자신탁(주식-파생형),KBSTAR 200고배당커버드콜ATM,2018/02/27,코스피 200 고배당커버드콜 ATM 지수(시장가격지수),KRX,주식
KR7284980000,284980,KB KBSTAR 200금융증권상장지수투자신탁(주식),KBSTAR 200금융,2017/12/08,코스피 200 금융,KRX,주식
KR7287320006,287320,KB KBSTAR 200산업재증권상장지수투자신탁(주식),KBSTAR 200산업재,2017/12/22,코스피 200 산업재,KRX,주식
KR7287330005,287330,KB KBSTAR 200생활소비재증권상장지수투자신탁(주식),KBSTAR 200생활소비재,2017/12/22,코스피 200 생활소비재,KRX,주식
KR7252400007,252400,KB KBSTAR 200선물레버리지증권상장지수투자신탁(주식-파생형),KBSTAR 200선물레버리지,2016/09/12,코스피 200 선물지수,KRX,주식
KR7252420005,252420,KB KBSTAR 200선물인버스2X증권상장지수투자신탁(주식-파생형),KBSTAR 200선물인버스2X,2016/09/22,코스피 200 선물지수,KRX,주식
KR7252410006,252410,KB KBSTAR 200선물인버스증권상장지수투자신탁(주식-파생형),KBSTAR 200선물인버스,2016/09/12,코스피 200 선물지수,KRX,주식
KR7284990009,284990,KB KBSTAR 200에너지화학증권상장지수투자신탁(주식),KBSTAR 200에너지화학,2017/12/08,코스피 200 에너지/화학,KRX,주식
KR7285010005,285010,KB KBSTAR 200중공업증권상장지수투자신탁(주식),KBSTAR 200중공업,2017/12/08,코스피 200 중공업,KRX,주식
